カテゴリ,建物名,住所,間取り,家賃,階
賃貸マンション,サニーサイドウエスト,神奈川県横浜市鶴見区鶴見中央２,1K,8.4万円,2階
賃貸マンション,ヴァンベール横浜鶴見,神奈川県横浜市鶴見区寺谷２,1LDK,11.1万円,1階
賃貸アパート,ユナイト岸谷バンビーナ,神奈川県横浜市鶴見区岸谷２,ワンルーム,5.3万円,1階
賃貸アパート,ユナイト岸谷バンビーナ,神奈川県横浜市鶴見区岸谷２,ワンルーム,5.4万円,1階
賃貸アパート,ユナイト岸谷バンビーナ,神奈川県横浜市鶴見区岸谷２,ワンルーム,5.6万円,2階
賃貸アパート,ユナイト岸谷バンビーナ,神奈川県横浜市鶴見区岸谷２,ワンルーム,5.6万円,2階
賃貸マンション,ＪＲ京浜東北線 鶴見駅 6階建 築16年,神奈川県横浜市鶴見区下野谷町１,1DK,10.5万円,3階
賃貸マンション,ＪＲ京浜東北線 鶴見駅 6階建 築16年,神奈川県横浜市鶴見区下野谷町１,1DK,10.8万円,6階
賃貸マンション,ＪＲ京浜東北線 鶴見駅 6階建 築16年,神奈川県横浜市鶴見区下野谷町１,1DK,10.9万円,6階
賃貸マンション,リブリ・江ヶ崎,神奈川県横浜市鶴見区江ケ崎町,1K,7.2万円,1階
賃貸マンション,リブリ・江ヶ崎,神奈川県横浜市鶴見区江ケ崎町,1K,7.5万円,2階
賃貸マンション,リブリ・江ヶ崎,神奈川県横浜市鶴見区江ケ崎町,1K,7.6万円,2階
賃貸マンション,リブリ・江ヶ崎,神奈川県横浜市鶴見区江ケ崎町,1K,7.7万円,3階
賃貸マンション,京急本線 花月総持寺駅 3階建 築6年,神奈川県横浜市鶴見区東寺尾東台,1K,7.3万円,3階
賃貸マンション,京急本線 花月総持寺駅 3階建 築6年,神奈川県横浜市鶴見区東寺尾東台,1K,7.4万円,3階
賃貸アパート,ハーミットクラブハウス RAVINE,神奈川県横浜市鶴見区岸谷２,ワンルーム,5.7万円,1階
賃貸アパート,ハーミットクラブハウス RAVINE,神奈川県横浜市鶴見区岸谷２,ワンルーム,6.1万円,2階
賃貸アパート,ハーミットクラブハウス RAVINE,神奈川県横浜市鶴見区岸谷２,ワンルーム,6.2万円,2階
賃貸マンション,白石ビル,神奈川県横浜市鶴見区市場上町,1LDK,8.8万円,2階
賃貸アパート,ハーミットクラブハウス鶴見ツクノ,神奈川県横浜市鶴見区佃野町,ワンルーム,6.4万円,1階
賃貸アパート,ハーミットクラブハウス鶴見ツクノ,神奈川県横浜市鶴見区佃野町,ワンルーム,6.6万円,1階
賃貸アパート,京急本線 京急鶴見駅 2階建 築4年,神奈川県横浜市鶴見区東寺尾４,ワンルーム,5.3万円,1階
賃貸アパート,京急本線 京急鶴見駅 2階建 築4年,神奈川県横浜市鶴見区東寺尾４,ワンルーム,5.8万円,1階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,1DK,6.5万円,10階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,1DK,6.9万円,9階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,1DK,6.9万円,10階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,1K,7万円,9階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,ワンルーム,7.5万円,10階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,1K,7.2万円,11階
賃貸マンション,日神パレス生麦,神奈川県横浜市鶴見区生麦３,1K,7.9万円,8階
賃貸アパート,寿ハイツ,神奈川県横浜市鶴見区寺谷１,ワンルーム,5.5万円,1階
賃貸アパート,寿ハイツ,神奈川県横浜市鶴見区寺谷１,ワンルーム,5.5万円,2階
賃貸マンション,ダイアパレス鶴見第2,神奈川県横浜市鶴見区鶴見中央３,1K,6.5万円,9階
賃貸マンション,ダイアパレス鶴見第2,神奈川県横浜市鶴見区鶴見中央３,1K,8万円,9階
賃貸マンション,ダイアパレス鶴見第2,神奈川県横浜市鶴見区鶴見中央３,ワンルーム,7.9万円,5階
賃貸アパート,ルミエール馬場,神奈川県横浜市鶴見区馬場２,1K,5.9万円,2階
賃貸アパート,ルミエール馬場,神奈川県横浜市鶴見区馬場２,1K,5.9万円,1階
賃貸アパート,ルミエール馬場,神奈川県横浜市鶴見区馬場２,1K,6.4万円,1階
賃貸アパート,ルミエール馬場,神奈川県横浜市鶴見区馬場２,1K,6.4万円,1階
賃貸アパート,ルミエール馬場,神奈川県横浜市鶴見区馬場２,1K,6.6万円,2階
賃貸アパート,ルミエール馬場,神奈川県横浜市鶴見区馬場２,1K,6.6万円,2階
賃貸マンション,ラ・パルフェ・ド・ジュウィール,神奈川県横浜市鶴見区岸谷１,ワンルーム,4.5万円,2階
賃貸マンション,ラ・パルフェ・ド・ジュウィール,神奈川県横浜市鶴見区岸谷１,ワンルーム,4.5万円,4階
賃貸マンション,ラ・パルフェ・ド・ジュウィール,神奈川県横浜市鶴見区岸谷１,ワンルーム,5.2万円,3階
賃貸アパート,プリエール菊名,神奈川県横浜市鶴見区上の宮１,ワンルーム,6.2万円,1階
賃貸アパート,プリエール菊名,神奈川県横浜市鶴見区上の宮１,ワンルーム,6.2万円,1階
賃貸マンション,ラ・セゾンヨコハマ,神奈川県横浜市鶴見区下末吉２,1K,5.4万円,2階
賃貸マンション,ラ・セゾンヨコハマ,神奈川県横浜市鶴見区下末吉２,1K,5.4万円,2階
賃貸マンション,ラ・セゾンヨコハマ,神奈川県横浜市鶴見区下末吉２,1K,5.4万円,1階
賃貸アパート,ユナイト末吉スペクトラム,神奈川県横浜市鶴見区下末吉４,ワンルーム,4.6万円,1階
賃貸アパート,ユナイト末吉スペクトラム,神奈川県横浜市鶴見区下末吉４,ワンルーム,4.7万円,2階
賃貸マンション,ふりゑ横浜,神奈川県横浜市鶴見区小野町,1LDK,8.2万円,2階
賃貸マンション,ＪＲ鶴見線 鶴見小野駅 3階建 築9年,神奈川県横浜市鶴見区小野町,1LDK,8.2万円,2階
賃貸マンション,ＪＲ鶴見線 鶴見小野駅 3階建 築9年,神奈川県横浜市鶴見区小野町,1LDK,8.2万円,3階
賃貸マンション,ＪＲ鶴見線 鶴見小野駅 3階建 築9年,神奈川県横浜市鶴見区小野町,1LDK,8.2万円,2階
賃貸アパート,京急本線 生麦駅 3階建 築13年,神奈川県横浜市鶴見区岸谷２,1LDK,9.2万円,2階
賃貸アパート,京急本線 生麦駅 3階建 築13年,神奈川県横浜市鶴見区岸谷２,1LDK,9.2万円,2階
賃貸アパート,Ｐｒｅｎｄｒｅ　Ｌａ　ｍｅｒ,神奈川県横浜市鶴見区岸谷２,1LDK,9.2万円,2階
賃貸アパート,京急本線 生麦駅 3階建 築3年,神奈川県横浜市鶴見区生麦３,1DK,9.9万円,3階
賃貸マンション,メゾンマイネ,神奈川県横浜市鶴見区尻手３,2LDK,9.4万円,1階
賃貸アパート,クレイン・モア,神奈川県横浜市鶴見区仲通２,1LDK,9.6万円,2階
賃貸アパート,クレイン・モア,神奈川県横浜市鶴見区仲通２,1LDK,9.6万円,2階
賃貸アパート,京急本線 京急鶴見駅 3階建 築10年,神奈川県横浜市鶴見区仲通２,1LDK,9.6万円,2階
賃貸アパート,京急本線 京急鶴見駅 3階建 築10年,神奈川県横浜市鶴見区仲通２,1LDK,9.6万円,2階
賃貸アパート,京急本線 京急鶴見駅 3階建 築10年,神奈川県横浜市鶴見区仲通２,1LDK,9.6万円,2階
賃貸マンション,ラシュレ,神奈川県横浜市鶴見区矢向１,1K,8.6万円,2階
賃貸マンション,ラシュレ,神奈川県横浜市鶴見区矢向１,1LDK,10.1万円,4階
賃貸マンション,ＪＲ南武線 尻手駅 4階建 築11年,神奈川県横浜市鶴見区矢向１,1LDK,10.1万円,4階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,7.1万円,3階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,6.65万円,1階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,7.25万円,2階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,7.3万円,3階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,6.9万円,4階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,6.9万円,4階
賃貸マンション,リルシア横濱鶴見II,神奈川県横浜市鶴見区元宮１,1K,6.9万円,1階
賃貸アパート,サンクレイン,神奈川県横浜市鶴見区市場西中町,1LDK,10万円,1-2階
賃貸アパート,サンクレイン,神奈川県横浜市鶴見区市場西中町,1LDK,10.2万円,1-2階
賃貸アパート,Ｒｅｓｉｄｅｎｃｅ平安町,神奈川県横浜市鶴見区平安町２,1DK,7.3万円,2階
賃貸アパート,Ｒｅｓｉｄｅｎｃｅ平安町,神奈川県横浜市鶴見区平安町２,1DK,7.4万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.1万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.1万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.1万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.1万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.15万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.15万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.25万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.35万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.35万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.35万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.35万円,1階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.4万円,3階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.4万円,3階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.45万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.45万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.5万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.5万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.5万円,5階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.5万円,5階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.5万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.55万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.55万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.55万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.55万円,3階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.55万円,3階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.55万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.6万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.6万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.6万円,3階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.6万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,5階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,5階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.65万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.7万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.7万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.7万円,5階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.7万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.8万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.8万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.8万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.8万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1K,8.95万円,7階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.6万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.4万円,2階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.45万円,3階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.5万円,4階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.55万円,5階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.6万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.6万円,6階
賃貸マンション,ガーラ・ヴィスタ横浜鶴見,神奈川県横浜市鶴見区鶴見中央２,1DK,9.75万円,7階
賃貸マンション,ワコー東寺尾マンション,神奈川県横浜市鶴見区東寺尾１,2LDK,8.2万円,4階
